,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
65,2016-01-16,Dartmouth,,Pine Manor,W 121-56,200,50,79,0.633,45,61,0.738,5,18,0.278,16,19,0.842,121
66,2010-11-16,Virginia Military Institute,,Virginia Wise,W 120-88,200,37,83,0.446,25,46,0.543,12,37,0.324,34,38,0.895,120
67,2010-11-30,Charleston Southern,,Toccoa Falls,W 120-43,200,51,86,0.593,38,63,0.603,13,23,0.565,5,5,1,120
68,2010-12-28,Arkansas State,,Central Baptist,W 120-39,200,39,64,0.609,26,38,0.684,13,26,0.5,29,39,0.744,120
69,2012-12-05,Cal State Northridge,,Vanguard,W 120-69,200,45,67,0.672,35,51,0.686,10,16,0.625,20,25,0.8,120
70,2012-12-11,Saint Mary's (CA),,Jackson State,W 120-67,200,39,63,0.619,26,40,0.65,13,23,0.565,29,35,0.829,120
71,2013-12-19,Morehead State,,South Dakota,W 120-83,200,44,80,0.55,27,48,0.563,17,32,0.531,15,20,0.75,120
72,2016-03-16,Duquesne,,Nebraska-Omaha,W 120-112,200,37,59,0.627,25,35,0.714,12,24,0.5,34,44,0.773,120
73,2016-11-29,Florida Gulf Coast,,Ave Maria,W 120-60,200,47,70,0.671,36,49,0.735,11,21,0.524,15,19,0.789,120
74,2016-12-19,Maryland-Baltimore County,,Citadel,W 120-111 (2OT),250,38,80,0.475,31,59,0.525,7,21,0.333,37,49,0.755,120
75,2016-12-28,Morehead State,,Asbury,W 120-77,200,52,94,0.553,49,78,0.628,3,16,0.188,13,24,0.542,120
76,2013-11-08,Chattanooga,,Covenant,W 119-56,200,42,75,0.56,36,56,0.643,6,19,0.316,29,37,0.784,119
77,2013-11-12,Marshall,,Rio Grande,W 119-77,200,45,72,0.625,36,54,0.667,9,18,0.5,20,33,0.606,119
78,2014-03-06,Northwestern State,,Central Arkansas,W 119-102,200,40,67,0.597,30,51,0.588,10,16,0.625,29,40,0.725,119
79,2014-12-28,Radford,,Central Pennsylvania College,W 119-69,200,47,67,0.701,37,52,0.712,10,15,0.667,15,23,0.652,119
80,2015-11-27,Auburn,,Northwestern State,W 119-81,200,43,74,0.581,26,42,0.619,17,32,0.531,16,23,0.696,119
81,2015-12-02,Louisiana State,,North Florida,W 119-108,200,45,70,0.643,42,58,0.724,3,12,0.25,26,36,0.722,119
82,2015-12-09,Nevada,,Fresno Pacific,W 119-70,200,40,67,0.597,27,43,0.628,13,24,0.542,26,34,0.765,119
83,2016-11-11,UCLA,,Pacific,W 119-80,200,42,69,0.609,24,39,0.615,18,30,0.6,17,24,0.708,119
84,2016-11-15,Citadel,,Truett-McConnell,W 119-90,200,37,85,0.435,22,37,0.595,15,48,0.313,30,40,0.75,119
85,2016-11-17,Appalachian State,,Warren Wilson,W 119-51,200,40,70,0.571,28,42,0.667,12,28,0.429,27,34,0.794,119
86,2016-11-19,Saint Francis (PA),,Chatham,W 119-59,200,44,73,0.603,25,41,0.61,19,32,0.594,12,21,0.571,119
87,2016-12-17,Cincinnati,,Fairleigh Dickinson,W 119-68,200,44,68,0.647,32,43,0.744,12,25,0.48,19,29,0.655,119
88,2016-12-19,Sam Houston State,,Hillsdale,W 119-81,200,41,72,0.569,31,50,0.62,10,22,0.455,27,33,0.818,119
89,2010-11-13,Washington,,McNeese State,W 118-64,200,43,92,0.467,31,62,0.5,12,30,0.4,20,42,0.476,118
90,2010-11-27,Lamar,,St. Gregory's,W 118-69,200,45,87,0.517,39,67,0.582,6,20,0.3,22,30,0.733,118
91,2011-11-11,Cal State Fullerton,,Redlands,W 118-68,200,41,74,0.554,30,47,0.638,11,27,0.407,25,39,0.641,118
92,2011-12-31,Duquesne,,Houston Baptist,W 118-72,200,44,76,0.579,36,59,0.61,8,17,0.471,22,34,0.647,118
93,2012-11-09,Northwestern State,,East Texas Baptist,W 118-77,200,48,76,0.632,38,52,0.731,10,24,0.417,12,21,0.571,118
94,2013-02-20,Louisiana Tech,,Central Baptist,W 118-48,200,47,94,0.5,32,53,0.604,15,41,0.366,9,12,0.75,118
95,2013-11-11,Southeast Missouri State,,Central Baptist,W 118-55,200,45,81,0.556,28,46,0.609,17,35,0.486,11,15,0.733,118
96,2013-11-13,Sacred Heart,@,Holy Cross,L 118-122 (2OT),250,38,76,0.5,28,50,0.56,10,26,0.385,32,38,0.842,118
97,2013-12-14,Coastal Carolina,,Reinhardt,W 118-82,200,42,62,0.677,31,46,0.674,11,16,0.688,23,33,0.697,118
98,2013-12-27,San Diego State,,St. Katherine,W 118-35,200,43,70,0.614,29,48,0.604,14,22,0.636,18,32,0.563,118
99,2014-01-04,Iona,,Niagara,W 118-92,200,40,62,0.645,26,36,0.722,14,26,0.538,24,35,0.686,118
100,2014-03-01,Southeast Missouri State,,Murray State,W 118-115 (2OT),250,44,78,0.564,36,57,0.632,8,21,0.381,22,29,0.759,118
101,2016-11-21,Savannah State,,Fort Valley State,W 118-101,200,40,74,0.541,17,29,0.586,23,45,0.511,15,23,0.652,118
102,2016-12-08,Florida State,,Nicholls State,W 118-63,200,45,72,0.625,28,40,0.7,17,32,0.531,11,12,0.917,118
103,2016-12-22,Portland State,,Walla Walla,W 118-59,200,45,77,0.584,24,38,0.632,21,39,0.538,7,9,0.778,118
104,2010-11-12,Gonzaga,,Southern,W 117-72,200,39,72,0.542,26,50,0.52,13,22,0.591,26,33,0.788,117
105,2012-11-09,Xavier,,Fairleigh Dickinson,W 117-75,200,43,61,0.705,30,40,0.75,13,21,0.619,18,21,0.857,117
106,2013-11-08,Oklahoma State,,Mississippi Valley State,W 117-62,200,38,62,0.613,26,41,0.634,12,21,0.571,29,41,0.707,117
107,2013-11-29,Mercer,@,Valparaiso,W 117-108 (3OT),275,36,78,0.462,26,57,0.456,10,21,0.476,35,41,0.854,117
108,2014-12-07,Elon,,Central Pennsylvania College,W 117-73,200,47,77,0.61,35,50,0.7,12,27,0.444,11,18,0.611,117
109,2015-12-01,Arkansas,,Northwestern State,W 117-78,200,44,79,0.557,38,64,0.594,6,15,0.4,23,30,0.767,117
110,2015-12-12,North Florida,,Coastal Georgia,W 117-71,200,37,60,0.617,23,31,0.742,14,29,0.483,29,42,0.69,117
111,2016-11-11,Central Michigan,,Indiana-Kokomo,W 117-53,200,33,75,0.44,23,41,0.561,10,34,0.294,41,50,0.82,117
112,2016-11-13,IPFW,,Kenyon,W 117-60,200,40,65,0.615,29,45,0.644,11,20,0.55,26,28,0.929,117
113,2016-11-15,Wofford,,Allen,W 117-77,200,42,62,0.677,25,36,0.694,17,26,0.654,16,22,0.727,117
114,2016-11-16,Oklahoma State,,New Orleans,W 117-72,201,38,71,0.535,27,46,0.587,11,25,0.44,30,38,0.789,117
115,2016-11-17,Louisiana-Lafayette,,Panhandle State,W 117-47,200,49,76,0.645,40,49,0.816,9,27,0.333,10,17,0.588,117
116,2016-12-10,North Carolina-Asheville,,Warren Wilson,W 117-52,200,40,70,0.571,28,47,0.596,12,23,0.522,25,38,0.658,117
117,2016-12-11,Eastern Michigan,,Siena Heights,W 117-55,200,43,72,0.597,37,57,0.649,6,15,0.4,25,32,0.781,117
118,2016-12-15,Auburn,,Coastal Carolina,W 117-72,200,40,72,0.556,19,30,0.633,21,42,0.5,16,22,0.727,117
119,2010-11-20,North Carolina-Asheville,,Virginia Intermont,W 116-58,200,44,80,0.55,32,54,0.593,12,26,0.462,16,19,0.842,116
120,2010-12-18,Missouri,,Central Arkansas,W 116-63,200,45,68,0.662,32,42,0.762,13,26,0.5,13,16,0.813,116
121,2011-11-13,Troy,,LaGrange,W 116-63,200,41,93,0.441,24,57,0.421,17,36,0.472,17,21,0.81,116
122,2012-11-13,Virginia Military Institute,,Central Pennsylvania College,W 116-81,200,45,85,0.529,32,52,0.615,13,33,0.394,13,20,0.65,116
123,2012-11-15,UC-Irvine,,Pacifica,W 116-47,200,42,68,0.618,30,47,0.638,12,21,0.571,20,29,0.69,116
124,2013-11-08,Boise State,,Texas-Arlington,W 116-87,200,41,71,0.577,28,45,0.622,13,26,0.5,21,28,0.75,116
