YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1988,Second Round,6,Florida,85,3,Michigan,108,-23,LOSS
1988,First Round,12,Wichita State,62,5,DePaul,83,-21,LOSS
1988,Elite Eight,6,Villanova,59,1,Oklahoma,78,-19,LOSS
1988,Elite Eight,2,North Carolina,52,1,Arizona,70,-18,LOSS
1988,Second Round,7,Southern Methodist,79,2,Duke,94,-15,LOSS
1988,Elite Eight,4,Kansas State,58,6,Kansas,71,-13,LOSS
1988,Sweet 16,7,Vanderbilt,64,6,Kansas,77,-13,LOSS
1988,First Round,11,Xavier,72,6,Kansas,85,-13,LOSS
1988,First Round,12,Iowa State,78,5,Georgia Tech,90,-12,LOSS
1988,Sweet 16,5,Louisville,98,1,Oklahoma,108,-10,LOSS
1988,Sweet 16,3,Michigan,69,2,North Carolina,78,-9,LOSS
1988,Second Round,7,Maryland,81,2,Kentucky,90,-9,LOSS
1988,First Round,11,Arkansas,74,6,Villanova,82,-8,LOSS
1988,First Round,10,Notre Dame,75,7,Southern Methodist,83,-8,LOSS
1988,Final Four,1,Arizona,78,1,Oklahoma,86,-8,LOSS
1988,Final Four,2,Duke,59,6,Kansas,66,-7,LOSS
1988,Sweet 16,2,Kentucky,74,6,Villanova,80,-6,LOSS
1988,First Round,12,Florida State,98,5,Iowa,102,-4,LOSS
1988,Sweet 16,1,Purdue,70,4,Kansas State,73,-3,LOSS
1988,Sweet 16,11,Rhode Island,72,2,Duke,73,-1,LOSS
1988,Sweet 16,2,Duke,73,11,Rhode Island,72,1,WIN
1988,Second Round,6,Villanova,66,3,Illinois,63,3,WIN
1988,First Round,6,Florida,62,11,St. John's,59,3,WIN
1988,Second Round,6,Kansas,61,14,Murray St.,58,3,WIN
1988,Second Round,11,Rhode Island,97,3,Syracuse,94,3,WIN
1988,Sweet 16,4,Kansas State,73,1,Purdue,70,3,WIN
1988,First Round,7,Vanderbilt,80,10,Utah State,77,3,WIN
1988,National Championship,6,Kansas,83,1,Oklahoma,79,4,WIN
1988,First Round,3,Michigan,63,14,Boise State,58,5,WIN
1988,Sweet 16,6,Villanova,80,2,Kentucky,74,6,WIN
1988,Second Round,7,Vanderbilt,80,2,Pittsburgh,74,6,WIN
1988,Final Four,6,Kansas,66,2,Duke,59,7,WIN
1988,First Round,11,Rhode Island,87,6,Missouri,80,7,WIN
1988,First Round,6,Villanova,82,11,Arkansas,74,8,WIN
1988,First Round,7,Southern Methodist,83,10,Notre Dame,75,8,WIN
1988,Second Round,4,Kansas State,66,5,DePaul,58,8,WIN
1988,First Round,5,Louisville,70,12,Oregon State,61,9,WIN
1988,Sweet 16,2,North Carolina,78,3,Michigan,69,9,WIN
1988,Second Round,2,Kentucky,90,7,Maryland,81,9,WIN
1988,Elite Eight,2,Duke,63,1,Temple,53,10,WIN
1988,First Round,7,Maryland,92,10,UC Santa Barbara,82,10,WIN
1988,Elite Eight,6,Kansas,71,4,Kansas State,58,13,WIN
1988,Sweet 16,6,Kansas,77,7,Vanderbilt,64,13,WIN
1988,First Round,6,Kansas,85,11,Xavier,72,13,WIN
1988,First Round,4,Kansas State,66,13,La Salle,53,13,WIN
1988,Second Round,2,Duke,94,7,Southern Methodist,79,15,WIN
1988,First Round,1,Purdue,94,16,Fairleigh Dickinson,79,15,WIN
1988,First Round,2,Kentucky,99,15,Southern,84,15,WIN
1988,First Round,2,Duke,85,15,Boston University,69,16,WIN
1988,First Round,8,Seton Hall,80,9,UTEP,64,16,WIN
1988,First Round,2,North Carolina,83,15,North Texas,65,18,WIN
1988,Elite Eight,1,Arizona,70,2,North Carolina,52,18,WIN
1988,Sweet 16,1,Arizona,99,5,Iowa,79,20,WIN
1988,Second Round,5,Louisville,97,4,Brigham Young,76,21,WIN
1988,Second Round,3,Michigan,108,6,Florida,85,23,WIN
1988,Second Round,2,North Carolina,123,10,Loyola Marymount,97,26,WIN
1988,Second Round,1,Purdue,100,9,Memphis,73,27,WIN
1988,Second Round,1,Arizona,84,8,Seton Hall,55,29,WIN
1988,First Round,1,Arizona,90,16,Cornell,50,40,WIN
1989,Elite Eight,5,Virginia,65,3,Michigan,102,-37,LOSS
1989,First Round,15,Bucknell,81,2,Syracuse,104,-23,LOSS
1989,First Round,7,Florida,46,10,Colorado State,68,-22,LOSS
1989,Final Four,2,Duke,78,3,Seton Hall,95,-17,LOSS
1989,Sweet 16,11,Minnesota,70,2,Duke,87,-17,LOSS
