1988,2,2,0,94,7,0,79,15,WIN
1989,2,2,0,70,7,0,63,7,WIN
1990,2,3,0,76,6,0,72,4,WIN
1991,2,2,0,85,7,0,70,15,WIN
1992,2,1,0,75,9,0,62,13,WIN
1994,2,2,0,85,7,0,74,11,WIN
1998,2,1,0,79,8,0,73,6,WIN
1999,2,1,0,97,9,0,56,41,WIN
2000,2,1,0,69,8,0,64,5,WIN
2001,2,1,0,94,9,0,81,13,WIN
2002,2,1,0,84,8,0,77,7,WIN
2003,2,3,0,86,11,0,80,6,WIN
2004,2,1,0,90,8,0,62,28,WIN
2005,2,1,0,63,9,0,55,8,WIN
2006,2,1,0,70,8,0,64,6,WIN
2009,2,2,0,74,7,0,69,5,WIN
2010,2,1,0,68,8,0,53,15,WIN
2011,2,1,0,73,8,0,71,2,WIN
2013,2,2,0,66,7,0,50,16,WIN
2015,2,1,0,68,8,0,49,19,WIN
2016,2,4,0,71,12,0,64,7,WIN
1987,3,5,0,82,1,0,88,-6,LOSS
2000,3,1,0,78,5,0,87,-9,LOSS
2002,3,1,0,73,5,0,74,-1,LOSS
2003,3,3,0,65,2,0,69,-4,LOSS
2005,3,1,0,68,5,0,78,-10,LOSS
2006,3,1,0,54,4,0,62,-8,LOSS
2009,3,2,0,54,3,0,77,-23,LOSS
2011,3,1,0,77,5,0,93,-16,LOSS
2016,3,4,0,68,1,0,82,-14,LOSS
1986,3,1,0,74,12,0,67,7,WIN
1988,3,2,0,73,11,0,72,1,WIN
1989,3,2,0,87,11,0,70,17,WIN
1990,3,3,0,90,7,0,81,9,WIN
1991,3,2,0,81,11,0,67,14,WIN
1992,3,1,0,81,4,0,69,12,WIN
1994,3,2,0,59,6,0,49,10,WIN
1998,3,1,0,80,5,0,67,13,WIN
1999,3,1,0,78,12,0,61,17,WIN
2001,3,1,0,76,4,0,63,13,WIN
2004,3,1,0,72,5,0,62,10,WIN
2010,3,1,0,70,4,0,57,13,WIN
2013,3,2,0,71,3,0,61,10,WIN
2015,3,1,0,63,5,0,57,6,WIN
1989,1,16,0,71,1,0,72,-1,LOSS
1990,1,13,0,83,4,0,99,-16,LOSS
1991,1,10,0,73,7,0,76,-3,LOSS
2003,1,15,0,73,2,0,76,-3,LOSS
2004,1,13,0,77,4,0,80,-3,LOSS
2009,1,16,0,62,1,0,72,-10,LOSS
2010,1,16,0,71,1,0,100,-29,LOSS
1992,1,14,0,87,3,0,80,7,WIN
1992,2,14,0,90,6,0,102,-12,LOSS
2011,4,2,0,71,8,0,74,-3,LOSS
2012,4,7,0,68,4,0,72,-4,LOSS
2013,4,3,0,59,4,0,79,-20,LOSS
1994,4,3,0,74,9,0,66,8,WIN
2000,4,5,0,77,3,0,65,12,WIN
2006,4,3,0,75,1,0,62,13,WIN
2007,4,1,0,85,3,0,77,8,WIN
2014,4,1,0,62,11,0,52,10,WIN
1994,5,3,0,65,2,0,70,-5,LOSS
2014,5,1,0,53,7,0,63,-10,LOSS
